trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
830,False,"{'a': 0.5, 'e': 0.27968338664184206}",20,11,-35.890935500055186,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
831,False,"{'a': 0.5, 'e': 0.27925438613400266}",20,12,17.511851484104103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.5, 'e': 0.27882604366108615}",20,8,10.891594371861997,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
833,False,"{'a': 0.5, 'e': 0.27839835821374626}",25,13,11.561718161486429,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
834,False,"{'a': 0.5, 'e': 0.27797132878418535}",25,6,-48.186372483325954,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
835,False,"{'a': 0.5, 'e': 0.2775449543661514}",20,6,16.813260565494687,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
836,False,"{'a': 0.5, 'e': 0.2771192339549358}",25,9,-1.4010554881028408,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
837,False,"{'a': 0.5, 'e': 0.27669416654737133}",25,7,8.281489364886133,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
838,False,"{'a': 0.5, 'e': 0.2762697511418291}",30,7,-10.868582764934196,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
839,False,"{'a': 0.5, 'e': 0.2758459867382171}",20,10,19.396093248014374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.5, 'e': 0.27542287233797674}",25,3,4.090561644898938,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
841,False,"{'a': 0.5, 'e': 0.2750004069440816}",20,8,7.916625926837575,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
842,False,"{'a': 0.5, 'e': 0.2745785895610345}",20,0,-11.824054124700323,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
843,False,"{'a': 0.5, 'e': 0.2741574191948649}",20,0,-4.162689038353706,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
844,False,"{'a': 0.5, 'e': 0.2737368948531273}",20,1,3.9700917171356576,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
845,False,"{'a': 0.5, 'e': 0.2733170155448981}",30,17,-20.567433244126303,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
846,False,"{'a': 0.5, 'e': 0.27289778028077416}",30,13,19.36937757337552,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
847,False,"{'a': 0.5, 'e': 0.2724791880728694}",20,0,-42.05630251293057,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
848,False,"{'a': 0.5, 'e': 0.27206123793481346}",20,6,1.56235230714349,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
849,False,"{'a': 0.5, 'e': 0.2716439288817488}",35,2,-12.93690920834592,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 0}",1
850,False,"{'a': 0.5, 'e': 0.2712272599303284}",20,12,12.745166034253703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
